time, Quad.GPS.X
21.604755,0.336497
21.704700,-0.271222
21.804646,0.232628
21.904591,-0.017190
22.004536,-0.171205
22.104481,0.882939
22.204426,-0.703770
22.304371,0.204455
22.404316,0.212541
22.504261,0.115560
22.604206,0.633229
22.704151,-0.544920
22.804096,-0.757799
22.904041,0.877813
23.003986,0.996270
23.103931,0.221850
23.203876,0.339457
23.303822,-1.490508
23.403767,-0.388393
23.503712,0.535836
23.603657,-1.192996
23.703602,0.867455
23.803547,-0.547812
23.903492,-0.338195
24.003437,0.159019
24.103382,-0.032728
24.203327,0.694193
24.303272,-0.862919
24.403217,0.214106
24.503162,-0.529950
24.603107,-0.740157
24.703053,-0.428590
24.802998,0.826449
24.902943,-0.353933
25.002888,0.017665
25.102833,-0.063230
25.202778,-0.059328
25.302723,0.689624
25.402668,-0.568302
25.502613,0.314231
25.602558,-1.048510
25.702503,-0.808169
25.802448,1.130760
25.902393,0.504886
26.002338,0.472266
26.102283,-0.189607
26.202229,0.185618
26.302174,-0.631727
26.402119,0.358573
26.502064,-0.772583
26.602009,-0.312894
26.701954,-0.399344
26.801899,-0.695594
26.901844,0.099042
27.001789,-1.891443
27.101734,0.315606
27.201679,-0.808455
27.301624,0.295794
27.401569,0.137019
27.501514,-0.327426
27.601460,-0.174143
27.701405,0.741963
27.801350,0.118994
27.901295,-0.971890
28.001240,-0.382593
28.101185,-0.390635
28.201130,0.440055
28.301075,-1.321966
28.401020,-0.390298
28.500965,0.539175
28.600910,-0.094383
28.700855,0.212803
28.800800,0.697520
28.900745,1.081807
29.000690,0.694294
29.100636,1.179484
29.200581,0.349832
29.300526,-0.179767
29.400471,-0.260365
29.500416,-0.006727
29.600361,-0.299773
29.700306,-0.135341
29.800251,0.684244
29.900196,0.803502
30.000141,-1.783314
30.100086,-0.938445
30.200031,0.496058
30.299976,-0.055317
30.399921,-0.577139
30.499866,-0.384420
30.599812,-0.400445
30.699757,0.276471
30.799702,0.972937
30.899647,0.277407
30.999592,-0.363665
31.099537,0.149996
31.199482,0.407768
31.299427,0.820170
31.399372,0.966225
31.499317,0.089142
31.599262,-0.237005
31.699207,1.208452
31.799152,-0.616292
31.899097,-0.161374
31.999043,-0.557009
32.098988,-0.316957
32.198933,-0.057172
32.298878,0.723088
32.398823,1.186592
32.498768,-0.285050
