time, Quad.Est.E.Pos, Quad.Est.S.Z
3.149954,0.101288,0.354706
3.154954,0.101121,0.354879
3.159953,0.101025,0.354995
3.164953,0.100879,0.355170
3.169953,0.100815,0.355286
3.174952,0.100680,0.355462
3.179952,0.100583,0.355580
3.184952,0.100460,0.355758
3.189951,0.100324,0.355877
3.194951,0.100179,0.356056
3.199950,0.100080,0.356176
3.204950,0.093104,0.355088
3.209950,0.092973,0.355198
3.214949,0.092788,0.355365
3.219949,0.092653,0.355476
3.224949,0.092469,0.355644
3.229948,0.092339,0.355757
3.234948,0.092155,0.355926
3.239948,0.092030,0.356040
3.244947,0.091844,0.356210
3.249947,0.091709,0.356325
3.254946,0.091518,0.356497
3.259946,0.091356,0.356613
3.264946,0.091153,0.356786
3.269945,0.091023,0.356903
3.274945,0.090812,0.357078
3.279945,0.090659,0.357195
3.284944,0.090452,0.357372
3.289944,0.090300,0.357490
3.294944,0.090085,0.357669
3.299943,0.090053,0.357788
3.304943,0.066010,0.356704
3.309942,0.065706,0.356814
3.314942,0.065363,0.356980
3.319942,0.065164,0.357091
3.324941,0.064827,0.357258
3.329941,0.064676,0.357370
3.334941,0.064350,0.357539
3.339940,0.064151,0.357652
3.344940,0.063844,0.357822
3.349940,0.063632,0.357936
3.354939,0.063317,0.358108
3.359939,0.063140,0.358223
3.364938,0.062847,0.358396
3.369938,0.062648,0.358512
3.374938,0.062341,0.358686
3.379937,0.062198,0.358803
3.384937,0.061891,0.358979
3.389937,0.061603,0.359097
3.394936,0.061269,0.359274
3.399936,0.061049,0.359393
3.404936,0.080174,0.358314
3.409935,0.080321,0.358423
3.414935,0.080607,0.358588
3.419935,0.080785,0.358699
3.424934,0.081063,0.358865
3.429934,0.081256,0.358977
3.434933,0.081541,0.359145
3.439933,0.081737,0.359258
3.444933,0.082062,0.359427
3.449932,0.082289,0.359540
3.454932,0.082618,0.359711
3.459932,0.082835,0.359826
3.464931,0.083176,0.359998
3.469931,0.083394,0.360113
3.474931,0.083740,0.360287
3.479930,0.084003,0.360404
3.484930,0.084368,0.360579
3.489929,0.084612,0.360696
3.494929,0.084967,0.360873
3.499929,0.085191,0.360991
3.504928,0.087607,0.359916
3.509928,0.088111,0.360025
3.514928,0.088785,0.360189
3.519927,0.089241,0.360300
3.524927,0.089894,0.360465
3.529927,0.090309,0.360576
3.534926,0.090968,0.360744
3.539926,0.091419,0.360856
3.544925,0.092037,0.361024
3.549925,0.092450,0.361137
3.554925,0.093060,0.361308
3.559924,0.093452,0.361421
3.564924,0.094030,0.361593
3.569924,0.094397,0.361708
3.574923,0.094944,0.361881
3.579923,0.095244,0.361997
3.584923,0.095741,0.362171
3.589922,0.096011,0.362288
3.594922,0.096483,0.362464
3.599921,0.096827,0.362582
3.604921,0.116581,0.361511
3.609921,0.116471,0.361620
3.614920,0.116412,0.361783
3.619920,0.116434,0.361893
3.624920,0.116396,0.362058
3.629919,0.116382,0.362169
3.634919,0.116271,0.362335
3.639919,0.116210,0.362447
3.644918,0.116116,0.362615
3.649918,0.116083,0.362727
3.654917,0.116013,0.362897
3.659917,0.116006,0.363010
3.664917,0.115963,0.363181
3.669916,0.115851,0.363296
3.674916,0.115793,0.363468
3.679916,0.115633,0.363583
3.684915,0.115537,0.363757
3.689915,0.115520,0.363873
3.694915,0.115431,0.364049
3.699914,0.115395,0.364166
3.704914,0.084817,0.363099
3.709913,0.084584,0.363207
3.714913,0.084071,0.363370
3.719913,0.083596,0.363480
3.724912,0.083076,0.363644
3.729912,0.082711,0.363754
3.734912,0.082160,0.363920
3.739911,0.081771,0.364031
3.744911,0.081190,0.364198
3.749911,0.080760,0.364310
3.754910,0.080136,0.364479
3.759910,0.079676,0.364592
3.764910,0.079000,0.364762
3.769909,0.078712,0.364876
3.774909,0.078065,0.365048
3.779908,0.077930,0.365163
3.784908,0.077322,0.365336
3.789908,0.076887,0.365452
3.794907,0.076249,0.365626
3.799907,0.075909,0.365743
3.804907,0.090054,0.364680
3.809906,0.089689,0.364788
3.814906,0.089243,0.364951
3.819906,0.088901,0.365059
3.824905,0.088453,0.365223
3.829905,0.088055,0.365333
3.834904,0.087620,0.365498
3.839904,0.087314,0.365609
3.844904,0.086870,0.365775
3.849903,0.086564,0.365887
3.854903,0.086087,0.366055
3.859903,0.085782,0.366167
3.864902,0.085297,0.366337
3.869902,0.084858,0.366450
3.874902,0.084326,0.366621
3.879901,0.084166,0.366736
3.884901,0.083656,0.366908
3.889900,0.083015,0.367023
3.894900,0.082428,0.367197
3.899900,0.082263,0.367314
3.904899,0.087298,0.366255
3.909899,0.087154,0.366362
3.914899,0.086940,0.366524
3.919898,0.086782,0.366632
3.924898,0.086535,0.366795
3.929898,0.086378,0.366904
3.934897,0.086096,0.367069
3.939897,0.085890,0.367179
3.944896,0.085586,0.367345
3.949896,0.085400,0.367456
3.954896,0.085108,0.367623
3.959895,0.085029,0.367735
3.964895,0.084778,0.367904
3.969895,0.084575,0.368017
3.974894,0.084306,0.368187
3.979894,0.084300,0.368301
3.984894,0.084034,0.368473
3.989893,0.083939,0.368588
3.994893,0.083660,0.368761
3.999892,0.083614,0.368877
4.004892,0.080254,0.367822
4.009892,0.080063,0.367929
4.014892,0.079565,0.368090
4.019891,0.079164,0.368198
4.024891,0.078643,0.368361
4.029891,0.078285,0.368470
4.034890,0.077728,0.368633
4.039890,0.077334,0.368743
4.044889,0.076739,0.368908
4.049889,0.076326,0.369019
4.054889,0.075695,0.369186
4.059888,0.075258,0.369297
4.064888,0.074582,0.369465
4.069888,0.074147,0.369578
4.074887,0.073449,0.369747
4.079887,0.072965,0.369861
4.084887,0.072241,0.370032
4.089886,0.071614,0.370146
4.094886,0.070817,0.370319
4.099885,0.070229,0.370434
4.104885,0.096577,0.369384
4.109885,0.096564,0.369490
4.114884,0.096531,0.369650
4.119884,0.096515,0.369758
4.124884,0.096471,0.369920
4.129883,0.096423,0.370028
4.134883,0.096352,0.370191
4.139883,0.096305,0.370300
4.144882,0.096216,0.370465
4.149882,0.096135,0.370575
4.154881,0.096019,0.370741
4.159881,0.095943,0.370852
4.164881,0.095819,0.371020
4.169880,0.095744,0.371132
4.174880,0.095602,0.371301
4.179880,0.095517,0.371414
4.184879,0.095367,0.371584
4.189879,0.095192,0.371698
4.194879,0.095042,0.371870
4.199878,0.094965,0.371985
4.204878,0.090360,0.370938
4.209877,0.090394,0.371044
4.214877,0.090406,0.371204
4.219877,0.090442,0.371311
4.224876,0.090421,0.371472
4.229876,0.090450,0.371580
4.234876,0.090394,0.371742
4.239875,0.090366,0.371851
4.244875,0.090302,0.372015
4.249875,0.090244,0.372125
4.254874,0.090163,0.372290
4.259874,0.090054,0.372401
4.264874,0.089917,0.372567
4.269873,0.089819,0.372679
4.274873,0.089671,0.372847
4.279872,0.089552,0.372960
4.284872,0.089392,0.373129
4.289872,0.089484,0.373243
4.294871,0.089336,0.373414
4.299871,0.089090,0.373528
4.304871,0.081118,0.372486
4.309870,0.080889,0.372592
4.314870,0.080507,0.372751
4.319870,0.080181,0.372857
4.324869,0.079838,0.373018
4.329869,0.079645,0.373125
4.334868,0.079281,0.373287
4.339868,0.079022,0.373395
4.344868,0.078659,0.373559
4.349867,0.078424,0.373668
4.354867,0.078082,0.373833
4.359867,0.077881,0.373943
4.364866,0.077538,0.374109
4.369866,0.077267,0.374220
4.374866,0.076902,0.374388
4.379865,0.076556,0.374500
4.384865,0.076129,0.374669
4.389864,0.075841,0.374782
4.394864,0.075432,0.374952
4.399864,0.075260,0.375066
4.404863,0.068819,0.374028
4.409863,0.068448,0.374133
4.414863,0.067722,0.374291
4.419862,0.067178,0.374398
4.424862,0.066437,0.374557
4.429862,0.065977,0.374664
4.434861,0.065270,0.374826
4.439861,0.064811,0.374934
