time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
1.365008,0.002492,0.028408
1.370008,0.005997,0.027724
1.375008,0.008121,0.028408
1.380008,0.016884,0.027724
1.385009,0.019574,0.028408
1.390009,0.015391,0.027724
1.395009,0.015235,0.028408
1.400009,0.020281,0.027724
1.405010,0.018384,0.028408
1.410010,0.017056,0.027724
1.415010,0.015907,0.028408
1.420010,0.009178,0.027724
1.425011,0.011766,0.028408
1.430011,0.004872,0.027724
1.435011,0.004425,0.028408
1.440011,-0.003830,0.027724
1.445011,-0.002810,0.028408
1.450012,-0.003635,0.027724
1.455012,-0.000555,0.028408
1.460012,-0.008500,0.027724
1.465012,-0.008407,0.028408
1.470013,-0.012664,0.027724
1.475013,-0.015843,0.028408
1.480013,-0.012882,0.027724
1.485013,-0.013910,0.028408
1.490014,0.007097,0.027724
1.495014,0.008025,0.028408
1.500014,0.009294,0.027724
1.505014,0.010957,0.028408
1.510015,0.021324,0.027724
1.515015,0.023109,0.028408
1.520015,0.023481,0.027724
1.525015,0.023889,0.028408
1.530015,0.023191,0.027724
1.535016,0.026656,0.028408
1.540016,0.013746,0.027724
1.545016,0.014856,0.028408
1.550016,0.006138,0.027724
1.555017,0.006188,0.028408
1.560017,0.005858,0.027724
1.565017,0.007424,0.028408
1.570017,0.002923,0.027724
1.575018,0.004700,0.028408
1.580018,0.021758,0.027724
1.585018,0.022303,0.028408
1.590018,0.008171,0.027724
1.595019,0.009189,0.028408
1.600019,0.003444,0.027724
1.605019,0.001974,0.028408
1.610019,-0.003575,0.027724
1.615019,-0.002480,0.028408
1.620020,-0.004550,0.027724
1.625020,-0.004973,0.028408
1.630020,-0.007131,0.027724
1.635020,-0.008412,0.028408
1.640021,-0.006184,0.027724
1.645021,-0.006694,0.028408
1.650021,-0.017223,0.027724
1.655021,-0.018880,0.028408
1.660022,-0.017539,0.027724
1.665022,-0.017727,0.028408
1.670022,-0.005685,0.027724
1.675022,-0.009524,0.028408
1.680022,-0.000691,0.027724
1.685023,-0.000190,0.028408
1.690023,-0.005941,0.027724
1.695023,-0.004591,0.028408
1.700023,-0.003267,0.027724
1.705024,0.001127,0.028408
1.710024,-0.007283,0.027724
1.715024,-0.004945,0.028408
1.720024,-0.002736,0.027724
1.725025,-0.003724,0.028408
1.730025,-0.003852,0.027724
1.735025,-0.005735,0.028408
1.740025,-0.015497,0.027724
1.745026,-0.012752,0.028408
1.750026,-0.024939,0.027724
1.755026,-0.023539,0.028408
1.760026,-0.016268,0.027724
1.765026,-0.018328,0.028408
1.770027,-0.024542,0.027724
1.775027,-0.026188,0.028408
1.780027,-0.029776,0.027724
1.785027,-0.031114,0.028408
1.790028,-0.018362,0.027724
1.795028,-0.017719,0.028408
1.800028,-0.022178,0.027724
1.805028,-0.019843,0.028408
1.810029,-0.025327,0.027724
1.815029,-0.026609,0.028408
1.820029,-0.022266,0.027724
1.825029,-0.024650,0.028408
1.830029,-0.027478,0.027724
1.835030,-0.024858,0.028408
1.840030,-0.009654,0.027724
1.845030,-0.010578,0.028408
1.850030,-0.005669,0.027724
1.855031,-0.004712,0.028408
1.860031,-0.006824,0.027724
1.865031,-0.007686,0.028408
1.870031,-0.008808,0.027724
1.875032,-0.009942,0.028408
1.880032,-0.018378,0.027724
1.885032,-0.016634,0.028408
1.890032,-0.024610,0.027724
1.895033,-0.023334,0.028408
1.900033,-0.011460,0.027724
1.905033,-0.011434,0.028408
1.910033,-0.020641,0.027724
1.915033,-0.019873,0.028408
1.920034,-0.022314,0.027724
1.925034,-0.022879,0.028408
1.930034,-0.022346,0.027724
1.935034,-0.025993,0.028408
1.940035,-0.027202,0.027724
1.945035,-0.025457,0.028408
1.950035,-0.009524,0.027724
1.955035,-0.007768,0.028408
1.960036,0.008179,0.027724
1.965036,0.011507,0.028408
1.970036,0.005834,0.027724
1.975036,0.002067,0.028408
1.980036,-0.005264,0.027724
1.985037,-0.007603,0.028408
1.990037,0.001286,0.027724
1.995037,-0.000564,0.028408
2.000037,-0.010968,0.027724
2.005037,-0.010531,0.028408
2.010037,-0.014883,0.027724
2.015036,-0.014566,0.028408
2.020036,-0.031904,0.027724
2.025036,-0.030729,0.028408
2.030035,-0.035714,0.027724
2.035035,-0.033925,0.028408
2.040035,-0.035302,0.027724
2.045034,-0.033133,0.028408
2.050034,-0.042302,0.027724
2.055033,-0.041857,0.028408
2.060033,-0.051789,0.027724
2.065033,-0.050793,0.028408
2.070032,-0.046006,0.027724
2.075032,-0.048567,0.028408
2.080032,-0.046139,0.027724
2.085031,-0.043140,0.028408
2.090031,-0.066594,0.027724
2.095031,-0.068053,0.028408
2.100030,-0.051932,0.027724
2.105030,-0.051943,0.028408
2.110029,-0.051968,0.027724
2.115029,-0.054764,0.028408
2.120029,-0.036494,0.027724
2.125028,-0.039227,0.028408
2.130028,-0.045446,0.027724
2.135028,-0.047680,0.028408
2.140027,-0.053754,0.027724
2.145027,-0.054732,0.028408
2.150027,-0.049357,0.027724
2.155026,-0.051461,0.028408
