time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
1.310005,-0.005175,0.051293
1.315005,-0.007039,0.051299
1.320006,-0.005736,0.051303
1.325006,-0.008087,0.051309
1.330006,-0.008120,0.051313
1.335006,-0.007188,0.051319
1.340007,-0.007641,0.051323
1.345007,-0.009607,0.051328
1.350007,-0.006565,0.051332
1.355007,-0.004333,0.051338
1.360008,-0.004417,0.051342
1.365008,-0.005344,0.051348
1.370008,-0.003850,0.051352
1.375008,-0.001726,0.051358
1.380008,-0.002025,0.051361
1.385009,0.000666,0.051367
1.390009,0.001042,0.051371
1.395009,0.000886,0.051377
1.400009,-0.000401,0.051381
1.405010,-0.002298,0.051387
1.410010,-0.003479,0.051391
1.415010,-0.004628,0.051397
1.420010,-0.004702,0.051400
1.425011,-0.002114,0.051406
1.430011,-0.001567,0.051410
1.435011,-0.002014,0.051416
1.440011,-0.001301,0.051420
1.445011,-0.000281,0.051426
1.450012,-0.001183,0.051430
1.455012,0.001897,0.051435
1.460012,0.001037,0.051439
1.465012,0.001130,0.051445
1.470013,0.001206,0.051449
1.475013,-0.001973,0.051455
1.480013,-0.002396,0.051459
1.485013,-0.003424,0.051465
1.490014,-0.001332,0.051468
1.495014,-0.000403,0.051474
1.500014,-0.001655,0.051478
1.505014,0.000009,0.051484
1.510015,0.001200,0.051488
1.515015,0.002985,0.051494
1.520015,0.004946,0.051498
1.525015,0.005354,0.051503
1.530015,0.003785,0.051507
1.535016,0.007250,0.051513
1.540016,0.006432,0.051517
1.545016,0.007543,0.051523
1.550016,0.006137,0.051527
1.555017,0.006187,0.051533
1.560017,0.005345,0.051536
1.565017,0.006910,0.051542
1.570017,0.010034,0.051546
1.575018,0.011812,0.051552
1.580018,0.014466,0.051556
1.585018,0.015011,0.051562
1.590018,0.017164,0.051566
1.595019,0.018182,0.051571
1.600019,0.018170,0.051575
1.605019,0.016700,0.051581
1.610019,0.016218,0.051585
1.615019,0.017313,0.051591
1.620020,0.016840,0.051595
1.625020,0.016417,0.051600
1.630020,0.014626,0.051604
1.635020,0.013346,0.051610
1.640021,0.014533,0.051614
1.645021,0.014023,0.051620
1.650021,0.012261,0.051624
1.655021,0.010603,0.051629
1.660022,0.008582,0.051633
1.665022,0.008395,0.051639
1.670022,0.009570,0.051643
1.675022,0.005731,0.051649
1.680022,0.007566,0.051653
1.685023,0.008068,0.051659
1.690023,0.008552,0.051662
1.695023,0.009902,0.051668
1.700023,0.008314,0.051672
1.705024,0.012707,0.051678
1.710024,0.013568,0.051682
1.715024,0.015905,0.051688
1.720024,0.014594,0.051691
1.725025,0.013606,0.051697
1.730025,0.014057,0.051701
1.735025,0.012174,0.051707
1.740025,0.012518,0.051711
1.745026,0.015262,0.051717
1.750026,0.015736,0.051720
1.755026,0.017136,0.051726
1.760026,0.016610,0.051730
1.765026,0.014550,0.051736
1.770027,0.014846,0.051740
1.775027,0.013199,0.051746
1.780027,0.011729,0.051749
1.785027,0.010391,0.051755
1.790028,0.009191,0.051759
1.795028,0.009834,0.051765
1.800028,0.008499,0.051769
1.805028,0.010834,0.051775
1.810029,0.009899,0.051778
1.815029,0.008617,0.051784
1.820029,0.009178,0.051788
1.825029,0.006794,0.051794
1.830029,0.005615,0.051798
1.835030,0.008236,0.051803
1.840030,0.010567,0.051807
1.845030,0.009643,0.051813
1.850030,0.009606,0.051817
1.855031,0.010563,0.051823
1.860031,0.011225,0.051827
1.865031,0.010363,0.051832
1.870031,0.011683,0.051836
1.875032,0.010549,0.051842
1.880032,0.011701,0.051846
1.885032,0.013445,0.051852
1.890032,0.011211,0.051856
1.895033,0.012488,0.051861
1.900033,0.013414,0.051865
1.905033,0.013439,0.051871
1.910033,0.014016,0.051875
1.915033,0.014784,0.051881
1.920034,0.014518,0.051885
1.925034,0.013952,0.051890
1.930034,0.012862,0.051894
1.935034,0.009215,0.051900
1.940035,0.006480,0.051904
1.945035,0.008225,0.051910
1.950035,0.008093,0.051913
1.955035,0.009849,0.051919
1.960036,0.011390,0.051923
1.965036,0.014718,0.051929
1.970036,0.013652,0.051933
1.975036,0.009885,0.051938
1.980036,0.010881,0.051942
1.985037,0.008543,0.051948
1.990037,0.011639,0.051952
1.995037,0.009789,0.051958
2.000037,0.010596,0.051962
2.005037,0.011033,0.051967
2.010037,0.010154,0.051971
2.015036,0.010471,0.051977
2.020036,0.008551,0.051981
2.025036,0.009726,0.051987
2.030035,0.007980,0.051990
2.035035,0.009769,0.051996
2.040035,0.011031,0.052000
2.045034,0.013199,0.052006
2.050034,0.010402,0.052010
2.055033,0.010847,0.052015
2.060033,0.009726,0.052019
2.065033,0.010721,0.052025
2.070032,0.009329,0.052029
2.075032,0.006768,0.052035
2.080032,0.004693,0.052038
2.085031,0.007691,0.052044
2.090031,0.007087,0.052048
2.095031,0.005628,0.052054
2.100030,0.004015,0.052058
2.105030,0.004004,0.052063
2.110029,0.004856,0.052067
2.115029,0.002061,0.052073
2.120029,0.003404,0.052077
2.125028,0.000671,0.052083
2.130028,0.001804,0.052086
2.135028,-0.000430,0.052092
2.140027,-0.002772,0.052096
2.145027,-0.003751,0.052102
2.150027,-0.003948,0.052106
2.155026,-0.006052,0.052111
2.160026,-0.008060,0.052115
2.165025,-0.006889,0.052121
2.170025,-0.007453,0.052125
2.175025,-0.011056,0.052131
2.180024,-0.008789,0.052134
2.185024,-0.008727,0.052140
2.190024,-0.009143,0.052144
2.195023,-0.009752,0.052150
2.200023,-0.010711,0.052154
2.205023,-0.008341,0.052159
2.210022,-0.008722,0.052163
2.215022,-0.009093,0.052169
2.220021,-0.007757,0.052173
2.225021,-0.006971,0.052179
2.230021,-0.008390,0.052182
2.235020,-0.008390,0.052188
2.240020,-0.009154,0.052192
2.245020,-0.009608,0.052198
2.250019,-0.011812,0.052202
2.255019,-0.010813,0.052207
2.260019,-0.008436,0.052211
2.265018,-0.008656,0.052217
2.270018,-0.008744,0.052221
2.275017,-0.010038,0.052226
2.280017,-0.010806,0.052230
2.285017,-0.008224,0.052236
2.290016,-0.010198,0.052240
2.295016,-0.005819,0.052246
2.300016,-0.007004,0.052249
2.305015,-0.006164,0.052255
2.310015,-0.004896,0.052259
2.315015,-0.003674,0.052265
2.320014,-0.001868,0.052269
2.325014,-0.000686,0.052274
2.330014,-0.001601,0.052278
2.335013,-0.001151,0.052284
2.340013,0.001290,0.052288
2.345012,0.002296,0.052293
2.350012,-0.000520,0.052297
2.355012,-0.003250,0.052303
2.360011,-0.002557,0.052307
2.365011,-0.002248,0.052313
2.370011,-0.003510,0.052316
2.375010,-0.003204,0.052322
2.380010,-0.003028,0.052326
2.385010,-0.003239,0.052332
2.390009,-0.004852,0.052335
2.395009,-0.004331,0.052341
2.400008,-0.007379,0.052345
2.405008,-0.007987,0.052351
2.410008,-0.008126,0.052355
2.415007,-0.005497,0.052360
2.420007,-0.002284,0.052364
2.425007,-0.005758,0.052370
2.430006,-0.007085,0.052374
2.435006,-0.006786,0.052379
2.440006,-0.007361,0.052383
2.445005,-0.007073,0.052389
2.450005,-0.004748,0.052393
2.455004,-0.002746,0.052398
2.460004,-0.002736,0.052402
2.465004,-0.002141,0.052408
2.470003,-0.000800,0.052412
2.475003,0.000068,0.052418
2.480003,0.000201,0.052421
2.485002,0.000491,0.052427
2.490002,-0.000110,0.052431
2.495002,0.002778,0.052437
2.500001,0.004979,0.052440
2.505001,0.004253,0.052446
2.510000,0.001943,0.052450
2.515000,0.002190,0.052456
2.520000,0.003414,0.052460
