time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
1.355007,nan,-0.004792,-0.000461
1.360008,0.100242,-0.004886,-0.000473
1.365008,nan,-0.005826,-0.000484
1.370008,0.029677,-0.004338,-0.000490
1.375008,nan,-0.002219,-0.000494
1.380008,0.125209,-0.002521,-0.000498
1.385009,nan,0.000163,-0.000504
1.390009,-0.039867,0.000536,-0.000506
1.395009,nan,0.000380,-0.000505
1.400009,0.095839,-0.000903,-0.000499
1.405010,nan,-0.002789,-0.000488
1.410010,0.014807,-0.003959,-0.000475
1.415010,nan,-0.005093,-0.000463
1.420010,-0.071201,-0.005156,-0.000449
1.425011,nan,-0.002552,-0.000435
1.430011,-0.084925,-0.001995,-0.000424
1.435011,nan,-0.002431,-0.000416
1.440011,-0.111941,-0.001711,-0.000405
1.445011,nan,-0.000673,-0.000389
1.450012,-0.003097,-0.001561,-0.000371
1.455012,nan,0.001540,-0.000355
1.460012,-0.093937,0.000691,-0.000339
1.465012,nan,0.000806,-0.000320
1.470013,-0.065001,0.000898,-0.000298
1.475013,nan,-0.002249,-0.000269
1.480013,0.027504,-0.002646,-0.000236
1.485013,nan,-0.003631,-0.000199
1.490014,0.234085,-0.001506,-0.000156
1.495014,nan,-0.000520,-0.000108
1.500014,0.039476,-0.001732,-0.000058
1.505014,nan,-0.000009,-0.000008
1.510015,0.131552,0.001221,0.000041
1.515015,nan,0.003064,0.000088
1.520015,0.004509,0.005062,0.000134
1.525015,nan,0.005525,0.000181
1.530015,0.033867,0.003994,0.000229
1.535016,nan,0.007521,0.000281
1.540016,-0.131178,0.006745,0.000333
1.545016,nan,0.007917,0.000384
1.550016,-0.081268,0.006552,0.000436
1.555017,nan,0.006666,0.000489
1.560017,0.012536,0.005864,0.000539
1.565017,nan,0.007485,0.000584
1.570017,-0.088046,0.010643,0.000624
1.575018,nan,0.012463,0.000658
1.580018,0.195418,0.015140,0.000684
1.585018,nan,0.015712,0.000705
1.590018,-0.186705,0.017879,0.000720
1.595019,nan,0.018910,0.000730
1.600019,-0.064669,0.018906,0.000741
1.605019,nan,0.017453,0.000756
1.610019,-0.063662,0.016985,0.000774
1.615019,nan,0.018103,0.000794
1.620020,-0.022933,0.017647,0.000814
1.625020,nan,0.017247,0.000833
1.630020,-0.010695,0.015469,0.000850
1.635020,nan,0.014213,0.000872
1.640021,0.007204,0.015420,0.000896
1.645021,nan,0.014940,0.000922
1.650021,-0.121570,0.013200,0.000952
1.655021,nan,0.011581,0.000986
1.660022,0.023845,0.009592,0.001027
1.665022,nan,0.009460,0.001074
1.670022,0.125927,0.010672,0.001120
1.675022,nan,0.006887,0.001165
1.680022,0.084538,0.008757,0.001207
1.685023,nan,0.009303,0.001241
1.690023,-0.079570,0.009809,0.001267
1.695023,nan,0.011186,0.001289
1.700023,0.033014,0.009617,0.001313
1.705024,nan,0.014043,0.001342
1.710024,-0.117258,0.014929,0.001375
1.715024,nan,0.017309,0.001411
1.720024,0.040982,0.016027,0.001448
1.725025,nan,0.015083,0.001484
1.730025,-0.009304,0.015560,0.001516
1.735025,nan,0.013712,0.001544
1.740025,-0.135302,0.014077,0.001569
1.745026,nan,0.016847,0.001588
1.750026,-0.175394,0.017331,0.001598
1.755026,nan,0.018735,0.001599
1.760026,0.078969,0.018209,0.001598
1.765026,nan,0.016146,0.001596
1.770027,-0.101124,0.016440,0.001594
1.775027,nan,0.014794,0.001595
1.780027,-0.053603,0.013326,0.001600
1.785027,nan,0.011995,0.001605
1.790028,0.150801,0.010798,0.001608
1.795028,nan,0.011441,0.001606
1.800028,-0.058095,0.010103,0.001602
1.805028,nan,0.012429,0.001593
1.810029,-0.078375,0.011483,0.001576
1.815029,nan,0.010179,0.001558
1.820029,0.024697,0.010725,0.001540
1.825029,nan,0.008320,0.001522
1.830029,-0.045768,0.007127,0.001505
1.835030,nan,0.009725,0.001485
1.840030,0.146412,0.012038,0.001460
1.845030,nan,0.011081,0.001433
1.850030,0.055151,0.011022,0.001405
1.855031,nan,0.011947,0.001379
1.860031,-0.038779,0.012589,0.001354
1.865031,nan,0.011698,0.001331
1.870031,-0.036814,0.013002,0.001311
1.875032,nan,0.011845,0.001292
1.880032,-0.132254,0.012981,0.001272
1.885032,nan,0.014702,0.001253
1.890032,-0.092333,0.012457,0.001242
1.895033,nan,0.013725,0.001236
1.900033,0.121262,0.014648,0.001234
1.905033,nan,0.014674,0.001235
1.910033,-0.136904,0.015254,0.001241
1.915033,nan,0.016033,0.001251
1.920034,-0.047172,0.015776,0.001262
1.925034,nan,0.015221,0.001270
1.930034,-0.001571,0.014137,0.001277
1.935034,nan,0.010497,0.001283
1.940035,-0.007588,0.007766,0.001288
1.945035,nan,0.009518,0.001294
1.950035,0.184716,0.009394,0.001306
1.955035,nan,0.011167,0.001322
1.960036,0.182534,0.012725,0.001345
1.965036,nan,0.016085,0.001373
1.970036,-0.048108,0.015043,0.001402
1.975036,nan,0.011311,0.001432
1.980036,-0.103829,0.012333,0.001465
1.985037,nan,0.010036,0.001500
1.990037,0.072376,0.013160,0.001534
1.995037,nan,0.011349,0.001565
2.000037,-0.144024,0.012177,0.001591
2.005037,nan,0.012640,0.001610
2.010037,-0.054974,0.011774,0.001626
2.015036,nan,0.012111,0.001643
2.020036,-0.215423,0.010206,0.001662
2.025036,nan,0.011404,0.001683
2.030035,-0.072927,0.009677,0.001705
2.035035,nan,0.011492,0.001727
2.040035,-0.065243,0.012771,0.001748
2.045034,nan,0.014962,0.001766
2.050034,-0.117050,0.012178,0.001782
2.055033,nan,0.012638,0.001793
2.060033,-0.155803,0.011525,0.001803
2.065033,nan,0.012532,0.001813
2.070032,0.030031,0.011148,0.001823
2.075032,nan,0.008598,0.001831
2.080032,0.009783,0.006527,0.001838
2.085031,nan,0.009535,0.001845
2.090031,-0.339167,0.008937,0.001853
2.095031,nan,0.007485,0.001859
2.100030,0.162924,0.005877,0.001865
2.105030,nan,0.005876,0.001874
2.110029,-0.060638,0.006738,0.001888
2.115029,nan,0.003966,0.001910
2.120029,0.168723,0.005329,0.001938
2.125028,nan,0.002634,0.001970
2.130028,-0.131753,0.003796,0.002006
2.135028,nan,0.001606,0.002044
2.140027,-0.096498,-0.000703,0.002086
2.145027,nan,-0.001633,0.002125
2.150027,0.019709,-0.001802,0.002159
2.155026,nan,-0.003868,0.002190
2.160026,-0.088497,-0.005855,0.002213
2.165025,nan,-0.004664,0.002226
2.170025,0.102026,-0.005224,0.002227
2.175025,nan,-0.008840,0.002212
2.180024,-0.038679,-0.006594,0.002181
2.185024,nan,-0.006580,0.002137
2.190024,-0.004026,-0.007035,0.002087
2.195023,nan,-0.007710,0.002031
2.200023,-0.013665,-0.008715,0.001975
2.205023,nan,-0.006408,0.001924
2.210022,-0.002246,-0.006828,0.001874
2.215022,nan,-0.007259,0.001824
2.220021,-0.006898,-0.005964,0.001773
2.225021,nan,-0.005240,0.001720
2.230021,0.173540,-0.006705,0.001661
2.235020,nan,-0.006779,0.001599
2.240020,-0.110682,-0.007594,0.001534
2.245020,nan,-0.008127,0.001469
2.250019,0.054051,-0.010382,0.001405
