time, Quad.Est.E.Pos, Quad.Est.S.Z
1.940035,0.117753,0.334056
1.945035,0.117777,0.334237
1.950035,0.117813,0.334358
1.955035,0.117826,0.334540
1.960036,0.117782,0.334662
1.965036,0.117791,0.334845
1.970036,0.117751,0.334968
1.975036,0.117739,0.335153
1.980036,0.117503,0.335277
1.985037,0.117429,0.335464
1.990037,0.117675,0.335589
1.995037,0.117646,0.335778
2.000037,0.117328,0.335904
2.005037,0.119700,0.334752
2.010037,0.119748,0.334868
2.015036,0.119507,0.335043
2.020036,0.119296,0.335161
2.025036,0.119033,0.335337
2.030035,0.118857,0.335456
2.035035,0.118568,0.335634
2.040035,0.118372,0.335753
2.045034,0.118047,0.335933
2.050034,0.117833,0.336053
2.055033,0.117500,0.336234
2.060033,0.117232,0.336356
2.065033,0.116883,0.336539
2.070032,0.116769,0.336661
2.075032,0.116459,0.336845
2.080032,0.116333,0.336969
2.085031,0.116063,0.337155
2.090031,0.115748,0.337280
2.095031,0.115470,0.337467
2.100030,0.115374,0.337593
2.105030,0.127631,0.336444
2.110029,0.127824,0.336559
2.115029,0.128089,0.336734
2.120029,0.128362,0.336851
2.125028,0.128625,0.337027
2.130028,0.128806,0.337144
2.135028,0.129016,0.337322
2.140027,0.129142,0.337441
2.145027,0.129421,0.337620
2.150027,0.129617,0.337739
2.155026,0.129917,0.337920
2.160026,0.130112,0.338041
2.165025,0.130413,0.338223
2.170025,0.130760,0.338345
2.175025,0.131132,0.338529
2.180024,0.131163,0.338652
2.185024,0.131462,0.338837
2.190024,0.131484,0.338961
2.195023,0.131732,0.339148
2.200023,0.132120,0.339273
2.205023,0.130987,0.338126
2.210022,0.131062,0.338242
2.215022,0.131318,0.338416
2.220021,0.131524,0.338532
2.225021,0.131764,0.338707
2.230021,0.131856,0.338824
2.235020,0.132170,0.339001
2.240020,0.132394,0.339120
2.245020,0.132680,0.339298
2.250019,0.132899,0.339417
2.255019,0.133256,0.339597
2.260019,0.133638,0.339717
2.265018,0.134106,0.339899
2.270018,0.134406,0.340020
2.275017,0.134871,0.340203
2.280017,0.135032,0.340326
2.285017,0.135475,0.340510
2.290016,0.135694,0.340634
2.295016,0.136139,0.340820
2.300016,0.136598,0.340944
2.305015,0.136061,0.339801
2.310015,0.136544,0.339916
2.315015,0.136838,0.340089
2.320014,0.137137,0.340205
2.325014,0.137379,0.340379
2.330014,0.137530,0.340496
2.335013,0.137773,0.340672
2.340013,0.137952,0.340790
2.345012,0.138178,0.340967
2.350012,0.138280,0.341086
2.355012,0.138436,0.341265
2.360011,0.138567,0.341385
2.365011,0.138744,0.341566
2.370011,0.138757,0.341687
2.375010,0.138888,0.341869
2.380010,0.139111,0.341991
2.385010,0.139283,0.342175
2.390009,0.139994,0.342297
2.395009,0.140294,0.342483
2.400008,0.140604,0.342607
2.405008,0.161027,0.341467
2.410008,0.161242,0.341581
2.415007,0.161717,0.341753
2.420007,0.162109,0.341869
2.425007,0.162596,0.342042
2.430006,0.162805,0.342159
2.435006,0.163287,0.342334
2.440006,0.163602,0.342451
2.445005,0.164101,0.342628
2.450005,0.164385,0.342747
2.455004,0.164849,0.342925
2.460004,0.165211,0.343044
2.465004,0.165702,0.343224
2.470003,0.166102,0.343345
2.475003,0.166676,0.343526
2.480003,0.167096,0.343647
2.485002,0.167684,0.343830
2.490002,0.167934,0.343953
2.495002,0.168515,0.344137
2.500001,0.168942,0.344261
2.505001,0.162781,0.343124
2.510000,0.163238,0.343238
2.515000,0.163666,0.343409
2.520000,0.163869,0.343524
2.524999,0.164291,0.343697
2.529999,0.164669,0.343813
2.534999,0.165082,0.343988
2.539998,0.165349,0.344105
2.544998,0.165806,0.344281
2.549998,0.166105,0.344399
2.554997,0.166582,0.344576
2.559997,0.166900,0.344695
2.564996,0.167387,0.344874
2.569996,0.167607,0.344994
2.574996,0.168047,0.345175
2.579995,0.168595,0.345296
2.584995,0.169081,0.345478
2.589995,0.169383,0.345600
2.594994,0.169880,0.345784
2.599994,0.170167,0.345907
2.604994,0.169268,0.344773
2.609993,0.169602,0.344886
2.614993,0.170184,0.345057
2.619992,0.170569,0.345172
2.624992,0.171088,0.345344
2.629992,0.171357,0.345460
2.634991,0.171882,0.345633
2.639991,0.172211,0.345750
2.644991,0.172741,0.345925
2.649990,0.173009,0.346042
2.654990,0.173446,0.346219
2.659990,0.173901,0.346338
2.664989,0.174396,0.346516
2.669989,0.174570,0.346635
2.674989,0.175021,0.346815
2.679988,0.175303,0.346936
2.684988,0.175726,0.347117
2.689987,0.175966,0.347239
2.694987,0.176386,0.347422
2.699987,0.176376,0.347544
2.704986,0.154618,0.346414
2.709986,0.154970,0.346527
2.714986,0.155391,0.346697
2.719985,0.155713,0.346811
2.724985,0.156146,0.346983
2.729985,0.156372,0.347098
2.734984,0.156791,0.347271
2.739984,0.157070,0.347387
2.744983,0.157505,0.347561
2.749983,0.157783,0.347678
2.754983,0.158205,0.347854
2.759982,0.158443,0.347972
2.764982,0.158818,0.348150
2.769982,0.158937,0.348269
2.774981,0.159285,0.348448
2.779981,0.159605,0.348568
2.784981,0.159938,0.348748
2.789980,0.160620,0.348869
2.794980,0.161031,0.349051
2.799979,0.161152,0.349173
2.804979,0.196589,0.348047
2.809979,0.197076,0.348159
2.814978,0.197545,0.348329
2.819978,0.197719,0.348442
2.824978,0.198255,0.348613
2.829977,0.198668,0.348727
2.834977,0.199214,0.348900
2.839977,0.199598,0.349015
2.844976,0.200118,0.349189
2.849976,0.200475,0.349306
