time, Quad.Est.E.Pos, Quad.Est.S.Z
1.575018,0.268038,0.574895
1.580018,0.270632,0.575978
1.585018,0.272769,0.577603
1.590018,0.274786,0.578687
1.595019,0.276966,0.580316
1.600019,0.277176,0.581403
1.605019,0.279314,0.583035
1.610019,0.280312,0.584124
1.615019,0.282466,0.585759
1.620020,0.284060,0.586850
1.625020,0.286238,0.588488
1.630020,0.287797,0.589582
1.635020,0.289989,0.591223
1.640021,0.291951,0.592319
1.645021,0.294205,0.593964
1.650021,0.297042,0.595061
1.655021,0.299346,0.596709
1.660022,0.302875,0.597809
1.665022,0.305303,0.599460
1.670022,0.307077,0.600562
1.675022,0.309531,0.602216
1.680022,0.309974,0.603320
1.685023,0.312403,0.604977
1.690023,0.314766,0.606083
1.695023,0.317264,0.607743
1.700023,0.318932,0.608851
1.705024,0.321442,0.610514
1.710024,0.323027,0.611624
1.715024,0.325551,0.613290
1.720024,0.327618,0.614401
1.725025,0.330161,0.616071
1.730025,0.332849,0.617184
1.735025,0.335446,0.618856
1.740025,0.336942,0.619972
1.745026,0.339546,0.621647
1.750026,0.341668,0.622764
1.755026,0.344329,0.624442
1.760026,0.346499,0.625561
1.765026,0.349189,0.627242
1.770027,0.350660,0.628363
1.775027,0.353315,0.630046
1.780027,0.354943,0.631169
1.785027,0.357607,0.632855
1.790028,0.358504,0.633980
1.795028,0.361138,0.635669
1.800028,0.363495,0.636796
1.805028,0.366186,0.638487
1.810029,0.366643,0.639616
1.815029,0.369275,0.641310
1.820029,0.370808,0.642440
1.825029,0.373466,0.644137
1.830029,0.374632,0.645269
1.835030,0.377276,0.646968
1.840030,0.379735,0.648102
1.845030,0.382414,0.649804
1.850030,0.385240,0.650940
1.855031,0.387954,0.652644
1.860031,0.388984,0.653781
1.865031,0.391641,0.655488
1.870031,0.394043,0.656627
1.875032,0.396741,0.658337
1.880032,0.399823,0.659478
1.885032,0.402586,0.661190
1.890032,0.405587,0.662332
1.895033,0.408380,0.664047
1.900033,0.410736,0.665190
1.905033,0.413541,0.666907
1.910033,0.413272,0.668053
1.915033,0.415944,0.669773
1.920034,0.417881,0.670920
1.925034,0.420550,0.672642
1.930034,0.422094,0.673790
1.935034,0.424759,0.675515
1.940035,0.426347,0.676665
1.945035,0.428998,0.678392
1.950035,0.429879,0.679543
1.955035,0.432515,0.681272
1.960036,0.435316,0.682426
1.965036,0.438012,0.684157
1.970036,0.440437,0.685312
1.975036,0.443172,0.687046
1.980036,0.446726,0.688202
1.985037,0.449556,0.689938
1.990037,0.449515,0.691096
1.995037,0.452266,0.692834
2.000037,0.455654,0.693994
2.005037,0.458501,0.695734
2.010037,0.462194,0.696895
2.015036,0.465119,0.698638
2.020036,0.466578,0.699801
2.025036,0.469492,0.701545
2.030035,0.471622,0.702709
2.035035,0.474560,0.704456
2.040035,0.477018,0.705622
2.045034,0.480004,0.707371
2.050034,0.481998,0.708538
2.055033,0.484980,0.710289
2.060033,0.487617,0.711457
2.065033,0.490635,0.713211
2.070032,0.491436,0.714381
2.075032,0.494403,0.716136
2.080032,0.495810,0.717307
2.085031,0.498741,0.719065
2.090031,0.501672,0.720238
2.095031,0.504641,0.721997
2.100030,0.506233,0.723171
2.105030,0.509193,0.724933
2.110029,0.511154,0.726108
2.115029,0.514116,0.727872
2.120029,0.516876,0.729049
2.125028,0.519875,0.730815
2.130028,0.522140,0.731993
2.135028,0.525180,0.733761
2.140027,0.526021,0.734940
2.145027,0.528988,0.736710
2.150027,0.530289,0.737890
2.155026,0.533220,0.739662
2.160026,0.535372,0.740844
2.165025,0.538319,0.742618
2.170025,0.538825,0.743801
2.175025,0.541679,0.745577
2.180024,0.545134,0.746762
2.185024,0.548089,0.748539
2.190024,0.550961,0.749725
2.195023,0.553986,0.751505
2.200023,0.554866,0.752692
2.205023,0.557834,0.754473
2.210022,0.559108,0.755662
2.215022,0.562030,0.757445
2.220021,0.564454,0.758635
2.225021,0.567395,0.760420
2.230021,0.567835,0.761611
2.235020,0.570663,0.763398
2.240020,0.573287,0.764591
2.245020,0.576161,0.766380
2.250019,0.576987,0.767573
2.255019,0.579787,0.769364
2.260019,0.579401,0.770558
2.265018,0.582065,0.772351
2.270018,0.583933,0.773547
2.275017,0.586587,0.775341
2.280017,0.589681,0.776538
2.285017,0.592381,0.778335
2.290016,0.594743,0.779533
2.295016,0.597461,0.781331
2.300016,0.598485,0.782530
2.305015,0.601146,0.784330
2.310015,0.604995,0.785531
2.315015,0.607758,0.787332
2.320014,0.610884,0.788534
2.325014,0.613721,0.790337
2.330014,0.615463,0.791540
2.335013,0.618298,0.793345
2.340013,0.620886,0.794549
2.345012,0.623759,0.796356
2.350012,0.627889,0.797561
2.355012,0.630878,0.799370
2.360011,0.632624,0.800576
2.365011,0.635604,0.802386
2.370011,0.638854,0.803594
2.375010,0.641917,0.805406
2.380010,0.642792,0.806614
2.385010,0.645790,0.808428
2.390009,0.643922,0.809637
2.395009,0.646704,0.811453
2.400008,0.647931,0.812663
2.405008,0.650698,0.814480
2.410008,0.651618,0.815692
2.415007,0.654351,0.817511
2.420007,0.657111,0.818724
2.425007,0.659876,0.820544
2.430006,0.659050,0.821758
2.435006,0.661673,0.823579
2.440006,0.662700,0.824795
2.445005,0.665264,0.826618
2.450005,0.669716,0.827834
2.455004,0.672408,0.829659
2.460004,0.673057,0.830876
2.465004,0.675672,0.832703
2.470003,0.676877,0.833921
2.475003,0.679457,0.835749
2.480003,0.680885,0.836969
2.485002,0.683432,0.838798
2.490002,0.686263,0.840019
2.495002,0.688848,0.841850
2.500001,0.690301,0.843071
2.505001,0.692885,0.844904
2.510000,0.696331,0.846127
2.515000,0.698992,0.847961
2.520000,0.699486,0.849185
2.524999,0.702083,0.851021
2.529999,0.706095,0.852245
2.534999,0.708786,0.854082
2.539998,0.708989,0.855308
2.544998,0.711604,0.857147
2.549998,0.714014,0.858373
2.554997,0.716656,0.860214
2.559997,0.718672,0.861441
2.564996,0.721316,0.863283
2.569996,0.724324,0.864512
2.574996,0.727017,0.866355
2.579995,0.725993,0.867584
2.584995,0.728552,0.869429
2.589995,0.730436,0.870660
2.594994,0.732996,0.872506
2.599994,0.735210,0.873738
2.604994,0.737778,0.875585
2.609993,0.738804,0.876818
2.614993,0.741332,0.878667
2.619992,0.743431,0.879900
2.624992,0.745979,0.881751
2.629992,0.746089,0.882985
2.634991,0.748568,0.884837
2.639991,0.748724,0.886073
2.644991,0.751123,0.887926
2.649990,0.757327,0.889162
2.654990,0.759941,0.891017
2.659990,0.758223,0.892255
2.664989,0.760682,0.894111
2.669989,0.764399,0.895349
2.674989,0.766939,0.897207
2.679988,0.768551,0.898446
2.684988,0.771085,0.900305
2.689987,0.773122,0.901545
2.694987,0.775660,0.903405
2.699987,0.779378,0.904646
2.704986,0.782000,0.906508
2.709986,0.784335,0.907750
2.714986,0.786987,0.909613
2.719985,0.789029,0.910856
2.724985,0.791691,0.912720
2.729985,0.792121,0.913964
2.734984,0.794728,0.915830
2.739984,0.796364,0.917075
2.744983,0.798957,0.918942
2.749983,0.802497,0.920187
2.754983,0.805194,0.922056
2.759982,0.807442,0.923302
2.764982,0.810179,0.925172
2.769982,0.813973,0.926419
2.774981,0.816784,0.928291
2.779981,0.817504,0.929539
2.784981,0.820269,0.931412
2.789980,0.818104,0.932660
2.794980,0.820689,0.934534
2.799979,0.823574,0.935784
2.804979,0.826197,0.937660
2.809979,0.830643,0.938910
2.814978,0.833402,0.940787
2.819978,0.832026,0.942038
2.824978,0.834618,0.943916
2.829977,0.837767,0.945168
2.834977,0.840409,0.947048
2.839977,0.844635,0.948301
2.844976,0.847403,0.950181
2.849976,0.847393,0.951435
2.854975,0.850041,0.953317
